"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Tinham banheiro - de uso exclusivo do domicílio - rede geral de esgoto ou pluvial ou fossa séptica"
"1503507";"Irituia (PA)";"Total";"Total";"2,97"
"1503606";"Itaituba (PA)";"Total";"Total";"20,29"
"1503705";"Itupiranga (PA)";"Total";"Total";"8,80"
"1503754";"Jacareacanga (PA)";"Total";"Total";"2,58"
"1503804";"Jacundá (PA)";"Total";"Total";"14,70"
"1503903";"Juruti (PA)";"Total";"Total";"3,14"
"1504000";"Limoeiro do Ajuru (PA)";"Total";"Total";"6,28"
"1504059";"Mãe do Rio (PA)";"Total";"Total";"40,18"
"1504109";"Magalhães Barata (PA)";"Total";"Total";"50,40"
"1504208";"Marabá (PA)";"Total";"Total";"31,40"
"1504307";"Maracanã (PA)";"Total";"Total";"42,93"
"1504406";"Marapanim (PA)";"Total";"Total";"1,97"
"1504422";"Marituba (PA)";"Total";"Total";"18,52"
"1504455";"Medicilândia (PA)";"Total";"Total";"14,02"
"1504505";"Melgaço (PA)";"Total";"Total";"3,95"
"1504604";"Mocajuba (PA)";"Total";"Total";"31,76"
"1504703";"Moju (PA)";"Total";"Total";"5,65"
"1504802";"Monte Alegre (PA)";"Total";"Total";"17,20"
"1504901";"Muaná (PA)";"Total";"Total";"2,45"
"1504950";"Nova Esperança do Piriá (PA)";"Total";"Total";"3,98"
"1504976";"Nova Ipixuna (PA)";"Total";"Total";"2,25"
"1505007";"Nova Timboteua (PA)";"Total";"Total";"10,83"
"1505031";"Novo Progresso (PA)";"Total";"Total";"1,36"
"1505064";"Novo Repartimento (PA)";"Total";"Total";"14,82"
"1505106";"Óbidos (PA)";"Total";"Total";"1,63"
"1505205";"Oeiras do Pará (PA)";"Total";"Total";"4,28"
"1505304";"Oriximiná (PA)";"Total";"Total";"36,98"
"1505403";"Ourém (PA)";"Total";"Total";"12,41"
"1505437";"Ourilândia do Norte (PA)";"Total";"Total";"31,05"
"1505486";"Pacajá (PA)";"Total";"Total";"8,28"
"1505494";"Palestina do Pará (PA)";"Total";"Total";"0,30"
"1505502";"Paragominas (PA)";"Total";"Total";"11,09"
"1505536";"Parauapebas (PA)";"Total";"Total";"42,11"
"1505551";"Pau D'Arco (PA)";"Total";"Total";"0,67"
"1505601";"Peixe-Boi (PA)";"Total";"Total";"35,26"
"1505635";"Piçarra (PA)";"Total";"Total";"2,95"
"1505650";"Placas (PA)";"Total";"Total";"1,29"
"1505700";"Ponta de Pedras (PA)";"Total";"Total";"21,02"
"1505809";"Portel (PA)";"Total";"Total";"11,27"
"1505908";"Porto de Moz (PA)";"Total";"Total";"12,71"
"1506005";"Prainha (PA)";"Total";"Total";"4,73"
"1506104";"Primavera (PA)";"Total";"Total";"39,52"
"1506112";"Quatipuru (PA)";"Total";"Total";"39,61"
"1506138";"Redenção (PA)";"Total";"Total";"9,90"
"1506161";"Rio Maria (PA)";"Total";"Total";"8,98"
"1506187";"Rondon do Pará (PA)";"Total";"Total";"3,25"
"1506195";"Rurópolis (PA)";"Total";"Total";"5,60"
"1506203";"Salinópolis (PA)";"Total";"Total";"47,52"
"1506302";"Salvaterra (PA)";"Total";"Total";"5,27"
"1506351";"Santa Bárbara do Pará (PA)";"Total";"Total";"10,04"
"1506401";"Santa Cruz do Arari (PA)";"Total";"Total";"10,73"
"1506500";"Santa Izabel do Pará (PA)";"Total";"Total";"10,54"
"1506559";"Santa Luzia do Pará (PA)";"Total";"Total";"19,61"
"1506583";"Santa Maria das Barreiras (PA)";"Total";"Total";"16,11"
"1506609";"Santa Maria do Pará (PA)";"Total";"Total";"4,81"
"1506708";"Santana do Araguaia (PA)";"Total";"Total";"16,03"
"1506807";"Santarém (PA)";"Total";"Total";"39,46"
"1506906";"Santarém Novo (PA)";"Total";"Total";"42,92"
"1507003";"Santo Antônio do Tauá (PA)";"Total";"Total";"10,29"
"1507102";"São Caetano de Odivelas (PA)";"Total";"Total";"6,30"
"1507151";"São Domingos do Araguaia (PA)";"Total";"Total";"6,61"
"1507201";"São Domingos do Capim (PA)";"Total";"Total";"7,78"
"1507300";"São Félix do Xingu (PA)";"Total";"Total";"21,71"
"1507409";"São Francisco do Pará (PA)";"Total";"Total";"38,20"
"1507458";"São Geraldo do Araguaia (PA)";"Total";"Total";"24,11"
"1507466";"São João da Ponta (PA)";"Total";"Total";"22,44"
"1507474";"São João de Pirabas (PA)";"Total";"Total";"10,01"
"1507508";"São João do Araguaia (PA)";"Total";"Total";"14,96"
"1507607";"São Miguel do Guamá (PA)";"Total";"Total";"8,20"
"1507706";"São Sebastião da Boa Vista (PA)";"Total";"Total";"3,03"
"1507755";"Sapucaia (PA)";"Total";"Total";"2,71"
"1507805";"Senador José Porfírio (PA)";"Total";"Total";"6,02"
"1507904";"Soure (PA)";"Total";"Total";"63,20"
"1507953";"Tailândia (PA)";"Total";"Total";"5,51"
"1507961";"Terra Alta (PA)";"Total";"Total";"0,73"
"1507979";"Terra Santa (PA)";"Total";"Total";"12,33"
"1508001";"Tomé-Açu (PA)";"Total";"Total";"2,54"
"1508035";"Tracuateua (PA)";"Total";"Total";"0,68"
"1508050";"Trairão (PA)";"Total";"Total";"1,29"
"1508084";"Tucumã (PA)";"Total";"Total";"30,22"
"1508100";"Tucuruí (PA)";"Total";"Total";"15,45"
"1508126";"Ulianópolis (PA)";"Total";"Total";"9,74"
"1508159";"Uruará (PA)";"Total";"Total";"2,54"
"1508209";"Vigia (PA)";"Total";"Total";"7,52"
"1508308";"Viseu (PA)";"Total";"Total";"19,13"
"1508357";"Vitória do Xingu (PA)";"Total";"Total";"21,88"
"1508407";"Xinguara (PA)";"Total";"Total";"14,07"
"1600055";"Serra do Navio (AP)";"Total";"Total";"48,95"
"1600105";"Amapá (AP)";"Total";"Total";"32,92"
"1600154";"Pedra Branca do Amapari (AP)";"Total";"Total";"19,99"
"1600204";"Calçoene (AP)";"Total";"Total";"10,11"
"1600212";"Cutias (AP)";"Total";"Total";"0,68"
"1600238";"Ferreira Gomes (AP)";"Total";"Total";"7,14"
"1600253";"Itaubal (AP)";"Total";"Total";"10,97"
"1600279";"Laranjal do Jari (AP)";"Total";"Total";"9,95"
"1600303";"Macapá (AP)";"Total";"Total";"27,31"
"1600402";"Mazagão (AP)";"Total";"Total";"5,54"
"1600501";"Oiapoque (AP)";"Total";"Total";"26,69"
"1600535";"Porto Grande (AP)";"Total";"Total";"20,86"
"1600550";"Pracuúba (AP)";"Total";"Total";"1,75"
"1600600";"Santana (AP)";"Total";"Total";"15,96"
"1600709";"Tartarugalzinho (AP)";"Total";"Total";"11,68"
"1600808";"Vitória do Jari (AP)";"Total";"Total";"12,75"
"1700251";"Abreulândia (TO)";"Total";"Total";"14,61"
"1700301";"Aguiarnópolis (TO)";"Total";"Total";"32,68"
"1700350";"Aliança do Tocantins (TO)";"Total";"Total";"21,06"
"1700400";"Almas (TO)";"Total";"Total";"30,83"
"1700707";"Alvorada (TO)";"Total";"Total";"6,73"
"1701002";"Ananás (TO)";"Total";"Total";"30,11"
"1701051";"Angico (TO)";"Total";"Total";"1,19"
