"Tabela 3218 - Domicílios particulares permanentes, por forma de abastecimento de água, segundo a existência de banheiro ou sanitário e esgotamento sanitário, o destino do lixo e a existência de energia elétrica"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Ano x Forma de abastecimento de água x Existência de banheiro ou sanitário e esgotamento sanitário"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"2010"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"Cód.";"Município";"Destino do lixo";"Existência de energia elétrica";"Total"
"1504307";"Maracanã (PA)";"Coletado";"Total";"29,98"
"1504406";"Marapanim (PA)";"Coletado";"Total";"57,38"
"1504422";"Marituba (PA)";"Coletado";"Total";"89,34"
"1504455";"Medicilândia (PA)";"Coletado";"Total";"30,93"
"1504505";"Melgaço (PA)";"Coletado";"Total";"24,06"
"1504604";"Mocajuba (PA)";"Coletado";"Total";"64,16"
"1504703";"Moju (PA)";"Coletado";"Total";"35,91"
"1504802";"Monte Alegre (PA)";"Coletado";"Total";"37,36"
"1504901";"Muaná (PA)";"Coletado";"Total";"42,71"
"1504950";"Nova Esperança do Piriá (PA)";"Coletado";"Total";"51,58"
"1504976";"Nova Ipixuna (PA)";"Coletado";"Total";"46,85"
"1505007";"Nova Timboteua (PA)";"Coletado";"Total";"63,04"
"1505031";"Novo Progresso (PA)";"Coletado";"Total";"76,60"
"1505064";"Novo Repartimento (PA)";"Coletado";"Total";"48,21"
"1505106";"Óbidos (PA)";"Coletado";"Total";"44,50"
"1505205";"Oeiras do Pará (PA)";"Coletado";"Total";"40,45"
"1505304";"Oriximiná (PA)";"Coletado";"Total";"57,93"
"1505403";"Ourém (PA)";"Coletado";"Total";"61,61"
"1505437";"Ourilândia do Norte (PA)";"Coletado";"Total";"75,31"
"1505486";"Pacajá (PA)";"Coletado";"Total";"29,49"
"1505494";"Palestina do Pará (PA)";"Coletado";"Total";"38,57"
"1505502";"Paragominas (PA)";"Coletado";"Total";"87,66"
"1505536";"Parauapebas (PA)";"Coletado";"Total";"95,61"
"1505551";"Pau D'Arco (PA)";"Coletado";"Total";"43,80"
"1505601";"Peixe-Boi (PA)";"Coletado";"Total";"49,80"
"1505635";"Piçarra (PA)";"Coletado";"Total";"38,77"
"1505650";"Placas (PA)";"Coletado";"Total";"29,80"
"1505700";"Ponta de Pedras (PA)";"Coletado";"Total";"41,01"
"1505809";"Portel (PA)";"Coletado";"Total";"47,25"
"1505908";"Porto de Moz (PA)";"Coletado";"Total";"25,00"
"1506005";"Prainha (PA)";"Coletado";"Total";"22,23"
"1506104";"Primavera (PA)";"Coletado";"Total";"52,72"
"1506112";"Quatipuru (PA)";"Coletado";"Total";"60,20"
"1506138";"Redenção (PA)";"Coletado";"Total";"81,41"
"1506161";"Rio Maria (PA)";"Coletado";"Total";"69,12"
"1506187";"Rondon do Pará (PA)";"Coletado";"Total";"72,53"
"1506195";"Rurópolis (PA)";"Coletado";"Total";"34,89"
"1506203";"Salinópolis (PA)";"Coletado";"Total";"79,79"
"1506302";"Salvaterra (PA)";"Coletado";"Total";"37,04"
"1506351";"Santa Bárbara do Pará (PA)";"Coletado";"Total";"52,56"
"1506401";"Santa Cruz do Arari (PA)";"Coletado";"Total";"64,02"
"1506500";"Santa Izabel do Pará (PA)";"Coletado";"Total";"74,45"
"1506559";"Santa Luzia do Pará (PA)";"Coletado";"Total";"49,84"
"1506583";"Santa Maria das Barreiras (PA)";"Coletado";"Total";"30,58"
"1506609";"Santa Maria do Pará (PA)";"Coletado";"Total";"66,95"
"1506708";"Santana do Araguaia (PA)";"Coletado";"Total";"55,52"
"1506807";"Santarém (PA)";"Coletado";"Total";"75,65"
"1506906";"Santarém Novo (PA)";"Coletado";"Total";"55,72"
"1507003";"Santo Antônio do Tauá (PA)";"Coletado";"Total";"60,17"
"1507102";"São Caetano de Odivelas (PA)";"Coletado";"Total";"47,84"
"1507151";"São Domingos do Araguaia (PA)";"Coletado";"Total";"57,90"
"1507201";"São Domingos do Capim (PA)";"Coletado";"Total";"40,91"
"1507300";"São Félix do Xingu (PA)";"Coletado";"Total";"49,26"
"1507409";"São Francisco do Pará (PA)";"Coletado";"Total";"49,33"
"1507458";"São Geraldo do Araguaia (PA)";"Coletado";"Total";"61,56"
"1507466";"São João da Ponta (PA)";"Coletado";"Total";"73,33"
"1507474";"São João de Pirabas (PA)";"Coletado";"Total";"40,91"
"1507508";"São João do Araguaia (PA)";"Coletado";"Total";"10,87"
"1507607";"São Miguel do Guamá (PA)";"Coletado";"Total";"55,14"
"1507706";"São Sebastião da Boa Vista (PA)";"Coletado";"Total";"41,64"
"1507755";"Sapucaia (PA)";"Coletado";"Total";"74,13"
"1507805";"Senador José Porfírio (PA)";"Coletado";"Total";"43,50"
"1507904";"Soure (PA)";"Coletado";"Total";"76,38"
"1507953";"Tailândia (PA)";"Coletado";"Total";"85,61"
"1507961";"Terra Alta (PA)";"Coletado";"Total";"67,17"
"1507979";"Terra Santa (PA)";"Coletado";"Total";"74,23"
"1508001";"Tomé-Açu (PA)";"Coletado";"Total";"61,21"
"1508035";"Tracuateua (PA)";"Coletado";"Total";"32,71"
"1508050";"Trairão (PA)";"Coletado";"Total";"49,34"
"1508084";"Tucumã (PA)";"Coletado";"Total";"66,08"
"1508100";"Tucuruí (PA)";"Coletado";"Total";"92,30"
"1508126";"Ulianópolis (PA)";"Coletado";"Total";"69,34"
"1508159";"Uruará (PA)";"Coletado";"Total";"51,80"
"1508209";"Vigia (PA)";"Coletado";"Total";"70,66"
"1508308";"Viseu (PA)";"Coletado";"Total";"18,90"
"1508357";"Vitória do Xingu (PA)";"Coletado";"Total";"18,78"
"1508407";"Xinguara (PA)";"Coletado";"Total";"79,25"
"1600055";"Serra do Navio (AP)";"Coletado";"Total";"87,70"
"1600105";"Amapá (AP)";"Coletado";"Total";"82,73"
"1600154";"Pedra Branca do Amapari (AP)";"Coletado";"Total";"62,80"
"1600204";"Calçoene (AP)";"Coletado";"Total";"73,42"
"1600212";"Cutias (AP)";"Coletado";"Total";"65,31"
"1600238";"Ferreira Gomes (AP)";"Coletado";"Total";"74,14"
"1600253";"Itaubal (AP)";"Coletado";"Total";"59,70"
"1600279";"Laranjal do Jari (AP)";"Coletado";"Total";"86,35"
"1600303";"Macapá (AP)";"Coletado";"Total";"95,88"
"1600402";"Mazagão (AP)";"Coletado";"Total";"38,17"
"1600501";"Oiapoque (AP)";"Coletado";"Total";"74,46"
"1600535";"Porto Grande (AP)";"Coletado";"Total";"67,01"
"1600550";"Pracuúba (AP)";"Coletado";"Total";"69,79"
"1600600";"Santana (AP)";"Coletado";"Total";"93,27"
"1600709";"Tartarugalzinho (AP)";"Coletado";"Total";"48,90"
"1600808";"Vitória do Jari (AP)";"Coletado";"Total";"88,05"
"1700251";"Abreulândia (TO)";"Coletado";"Total";"56,71"
"1700301";"Aguiarnópolis (TO)";"Coletado";"Total";"78,90"
"1700350";"Aliança do Tocantins (TO)";"Coletado";"Total";"79,00"
"1700400";"Almas (TO)";"Coletado";"Total";"58,44"
"1700707";"Alvorada (TO)";"Coletado";"Total";"90,84"
"1701002";"Ananás (TO)";"Coletado";"Total";"72,65"
"1701051";"Angico (TO)";"Coletado";"Total";"51,90"
"1701101";"Aparecida do Rio Negro (TO)";"Coletado";"Total";"73,52"
"1701309";"Aragominas (TO)";"Coletado";"Total";"41,34"
"1701903";"Araguacema (TO)";"Coletado";"Total";"45,90"
"1702000";"Araguaçu (TO)";"Coletado";"Total";"67,76"
"1702109";"Araguaína (TO)";"Coletado";"Total";"91,99"
"1702158";"Araguanã (TO)";"Coletado";"Total";"78,46"
"1702208";"Araguatins (TO)";"Coletado";"Total";"61,33"
"1702307";"Arapoema (TO)";"Coletado";"Total";"75,52"
"1702406";"Arraias (TO)";"Coletado";"Total";"62,33"
"1702554";"Augustinópolis (TO)";"Coletado";"Total";"73,99"
"1702703";"Aurora do Tocantins (TO)";"Coletado";"Total";"62,53"
"1702901";"Axixá do Tocantins (TO)";"Coletado";"Total";"67,99"
"1703008";"Babaçulândia (TO)";"Coletado";"Total";"46,08"
"1703057";"Bandeirantes do Tocantins (TO)";"Coletado";"Total";"53,44"
"1703073";"Barra do Ouro (TO)";"Coletado";"Total";"57,99"
"1703107";"Barrolândia (TO)";"Coletado";"Total";"82,44"
"1703206";"Bernardo Sayão (TO)";"Coletado";"Total";"61,98"
"1703305";"Bom Jesus do Tocantins (TO)";"Coletado";"Total";"62,86"
"1703602";"Brasilândia do Tocantins (TO)";"Coletado";"Total";"67,38"
"1703701";"Brejinho de Nazaré (TO)";"Coletado";"Total";"75,49"
